127.0.0.1, 2015-05-02 17:17:17, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001835
127.0.0.1, 2015-05-02 17:17:17, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000565
127.0.0.1, 2015-05-02 17:17:17, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.001793
127.0.0.1, 2015-05-02 17:17:17, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001201
127.0.0.1, 2015-05-02 17:17:17, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.002164
127.0.0.1, 2015-05-02 17:17:17, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000773
127.0.0.1, 2015-05-02 17:17:17, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.001208
127.0.0.1, 2015-05-02 17:17:17, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.001445
127.0.0.1, 2015-05-02 17:17:17, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.001635
127.0.0.1, 2015-05-02 17:17:17, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.000731
127.0.0.1, 2015-05-02 17:17:17, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000483
127.0.0.1, 2015-05-02 17:17:17, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000466
127.0.0.1, 2015-05-02 17:17:17, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.000398
127.0.0.1, 2015-05-02 17:17:20, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.001193
127.0.0.1, 2015-05-02 17:17:20, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.000986
127.0.0.1, 2015-05-02 17:17:20, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.000817
127.0.0.1, 2015-05-02 17:17:26, GET, /examples/default/documentation, HTTP/1.1, 200, 0.018215
127.0.0.1, 2015-05-02 17:17:26, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000611
127.0.0.1, 2015-05-02 17:18:05, GET, /examples/default/what, HTTP/1.1, 200, 0.553920
127.0.0.1, 2015-05-02 17:18:05, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000667
127.0.0.1, 2015-05-02 17:18:12, GET, /admin/default/site, HTTP/1.1, 303, 0.007061
127.0.0.1, 2015-05-02 17:18:12, GET, /admin/default/index, HTTP/1.1, 200, 0.037247
127.0.0.1, 2015-05-02 17:18:12, GET, /admin/static/_2.10.4/js/jquery.js, HTTP/1.1, 200, 0.000675
127.0.0.1, 2015-05-02 17:18:12, GET, /admin/static/_2.10.4/css/calendar.css, HTTP/1.1, 200, 0.000476
127.0.0.1, 2015-05-02 17:18:12, GET, /admin/static/_2.10.4/js/web2py.js, HTTP/1.1, 200, 0.001802
127.0.0.1, 2015-05-02 17:18:12, GET, /admin/static/_2.10.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000705
127.0.0.1, 2015-05-02 17:18:12, GET, /admin/static/_2.10.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002597
127.0.0.1, 2015-05-02 17:18:12, GET, /admin/static/_2.10.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.005874
127.0.0.1, 2015-05-02 17:18:12, GET, /admin/static/_2.10.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001919
127.0.0.1, 2015-05-02 17:18:12, GET, /admin/static/_2.10.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.003302
127.0.0.1, 2015-05-02 17:18:12, GET, /admin/static/_2.10.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000467
127.0.0.1, 2015-05-02 17:18:12, GET, /admin/static/_2.10.4/js/calendar.js, HTTP/1.1, 200, 0.011685
127.0.0.1, 2015-05-02 17:18:12, GET, /admin/static/_2.10.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000466
127.0.0.1, 2015-05-02 17:18:12, GET, /admin/static/_2.10.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.000429
127.0.0.1, 2015-05-02 17:18:12, GET, /admin/static/_2.10.4/images/questions.png, HTTP/1.1, 200, 0.000406
127.0.0.1, 2015-05-02 17:18:12, GET, /admin/static/_2.10.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000463
127.0.0.1, 2015-05-02 17:27:21, GET, /admin/default/site, HTTP/1.1, 200, 0.070541
127.0.0.1, 2015-05-02 17:27:30, GET, /examples/default/index, HTTP/1.1, 200, 0.011661
127.0.0.1, 2015-05-02 17:27:30, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000405
127.0.0.1, 2015-05-02 17:27:33, GET, /admin/default/site, HTTP/1.1, 200, 0.045470
127.0.0.1, 2015-05-02 17:27:37, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.093952
127.0.0.1, 2015-05-02 17:27:37, GET, /admin/static/_2.10.4/images/help.png, HTTP/1.1, 200, 0.000417
127.0.0.1, 2015-05-02 17:27:37, GET, /admin/static/_2.10.4/images/delete_icon.png, HTTP/1.1, 200, 0.000392
127.0.0.1, 2015-05-02 17:27:37, GET, /admin/static/_2.10.4/images/test_icon.png, HTTP/1.1, 200, 0.000341
127.0.0.1, 2015-05-02 17:27:37, GET, /admin/static/_2.10.4/images/search.png, HTTP/1.1, 200, 0.003600
127.0.0.1, 2015-05-02 17:27:54, GET, /admin/default/peek/welcome/views/layout.html, HTTP/1.1, 200, 0.050292
127.0.0.1, 2015-05-02 17:28:16, GET, /admin/default/site, HTTP/1.1, 200, 0.042724
127.0.0.1, 2015-05-02 17:28:21, GET, /admin/default/site, HTTP/1.1, 200, 0.050023
127.0.0.1, 2015-05-02 17:28:23, GET, /welcome/default/index, HTTP/1.1, 200, 0.025035
127.0.0.1, 2015-05-02 17:28:23, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000386
127.0.0.1, 2015-05-02 17:30:56, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.091327
127.0.0.1, 2015-05-02 17:31:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.022704
127.0.0.1, 2015-05-02 17:31:41, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000595
127.0.0.1, 2015-05-02 17:31:41, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000387
127.0.0.1, 2015-05-02 17:31:41, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000297
127.0.0.1, 2015-05-02 17:31:41, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000370
127.0.0.1, 2015-05-02 17:31:41, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000496
127.0.0.1, 2015-05-02 17:31:41, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000440
127.0.0.1, 2015-05-02 17:31:41, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000446
127.0.0.1, 2015-05-02 17:31:41, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000289
127.0.0.1, 2015-05-02 17:31:41, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003511
127.0.0.1, 2015-05-02 17:31:41, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000732
127.0.0.1, 2015-05-02 17:31:41, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000490
127.0.0.1, 2015-05-02 17:31:42, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000441
127.0.0.1, 2015-05-02 17:31:42, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.000424
127.0.0.1, 2015-05-02 17:31:42, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000449
127.0.0.1, 2015-05-02 17:31:42, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000368
127.0.0.1, 2015-05-02 17:31:42, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000288
127.0.0.1, 2015-05-02 17:36:45, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.026459
127.0.0.1, 2015-05-02 17:36:45, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000510
127.0.0.1, 2015-05-02 17:36:52, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.026556
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/default/edit/welcome/views/layout.html, HTTP/1.1, 200, 0.039756
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000537
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000361
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000267
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000823
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000426
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001180
127.0.0.1, 2015-05-02 17:36:59, GET, /admin/static/_2.10.4/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.003236
